drug,alternative
warfarin,apixaban
warfarin,rivaroxaban
warfarin,dabigatran
aspirin,acetaminophen
aspirin,clopidogrel
aspirin,naproxen
ibuprofen,naproxen
ibuprofen,celecoxib
ibuprofen,acetaminophen
diclofenac,celecoxib
diclofenac,etoricoxib
naproxen,acetaminophen
paracetamol,ibuprofen
paracetamol,naproxen
tramadol,paracetamol
tramadol,codeine
morphine,fentanyl
morphine,buprenorphine
alprazolam,buspirone
alprazolam,lorazepam
alprazolam,clonazepam
clonazepam,buspirone
diazepam,lorazepam
lorazepam,buspirone
sertraline,escitalopram
sertraline,fluoxetine
fluoxetine,sertraline
fluoxetine,citalopram
amitriptyline,nortriptyline
amitriptyline,duloxetine
duloxetine,venlafaxine
venlafaxine,desvenlafaxine
citalopram,escitalopram
metformin,sitagliptin
metformin,glimepiride
glimepiride,metformin
glimepiride,gliclazide
insulin,metformin
insulin,glargine
atenolol,metoprolol
atenolol,bisoprolol
metoprolol,bisoprolol
amlodipine,losartan
amlodipine,valsartan
losartan,valsartan
losartan,telmisartan
furosemide,torsemide
furosemide,hydrochlorothiazide
hydrochlorothiazide,chlorthalidone
digoxin,bisoprolol
digoxin,metoprolol
amiodarone,sotalol
amiodarone,metoprolol
heparin,enoxaparin
heparin,dalteparin
clopidogrel,prasugrel
clopidogrel,ticagrelor
prasugrel,ticagrelor
omeprazole,pantoprazole
omeprazole,esomeprazole
pantoprazole,esomeprazole
ranitidine,famotidine
famotidine,ranitidine
ciprofloxacin,levofloxacin
ciprofloxacin,azithromycin
azithromycin,doxycycline
doxycycline,amoxicillin
amoxicillin,cefuroxime
amoxicillin,cephalexin
ceftriaxone,cefotaxime
prednisone,methylprednisolone
prednisone,dexamethasone
hydrocortisone,prednisolone
levothyroxine,liothyronine
levothyroxine,thyroxine
iron,ferrous fumarate
iron,ferrous gluconate
calcium,vitamin d
vitamin d,cholecalciferol
folic acid,vitamin b12
vitamin b12,cyanocobalamin
