drug1,drug2,severity,side_effects
paracetamol,ibuprofen,mild,"Mild stomach upset or nausea"
paracetamol,aspirin,mild,"Minor stomach irritation possible"
ibuprofen,aspirin,moderate,"Increased bleeding risk and stomach ulcers"
ibuprofen,prednisone,moderate,"High stomach irritation and ulcer risk"
diclofenac,ibuprofen,moderate,"Severe gastric irritation and kidney stress"
naproxen,aspirin,moderate,"Increased bleeding tendency"
amlodipine,atenolol,moderate,"Low blood pressure and dizziness"
metformin,insulin,moderate,"Hypoglycemia risk with sweating and weakness"
losartan,amlodipine,moderate,"Excess BP reduction and dizziness"
ciprofloxacin,prednisone,moderate,"Tendon rupture risk especially in elderly"
warfarin,aspirin,severe,"Severe bleeding and hemorrhage risk"
warfarin,clopidogrel,severe,"Life threatening bleeding complications"
warfarin,heparin,severe,"Extremely high bleeding risk"
clopidogrel,aspirin,severe,"Major bleeding complications"
warfarin,diclofenac,severe,"Gastrointestinal bleeding and ulcers"
